A1,A2,A3,B1,B2,B3,C1,C2,C3,D1,D2,D3,E1,E2,E3,F1,F2,F3,G1,G2,G3,H1,H2,H3,PCI
0.0,2.48,0.0,0.0,1.2,0.0,1.32,2.42,0.0,0.8,1.72,0.0,0.0,0.0,2.84,0.0,0.0,0.0,0.0,1.22,0.0,0.0,0.0,0.0,60.0
0.0,0.0,0.0,0.8,0.0,0.0,0.6,1.2,0.8,0.92,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,28.0
0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.58,1.72,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,2.48,0.0,28.0
0.0,0.0,0.92,0.0,0.0,1.72,0.92,0.0,0.42,0.0,0.0,0.408,0.0,1.22,0.0,0.52,0.0,0.4,0.0,0.0,1.62,0.0,0.0,0.6,8.0
0.0,0.0,0.0,0.0,3.2,0.0,0.0,0.6,2.6,0.0,0.0,0.8,0.0,0.0,2.3,0.0,0.0,0.2,0.0,0.0,0.0,0.0,2.6,0.0,16.0
0.0,2.4,0.0,2.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,1.55,0.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0
0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,2.8,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,36.0
0.0,0.0,0.0,0.0,0.0,2.6,0.0,1.1,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
2.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,3.2,0.0,1.5,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0
0.0,1.0,0.0,0.0,0.0,0.0,0.6,0.45,0.0,1.5,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0
0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.5,0.6,1.8,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,2.6,0.0,40.0
0.0,1.2,0.0,0.0,0.0,2.6,0.0,0.8,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,68.0
0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.6,1.2,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,4.0
0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.9,0.5,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0
0.0,1.43,0.0,0.0,0.0,0.0,1.6,0.5,0.5,0.0,0.0,0.4,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,20.0
0.0,0.0,0.0,2.1,0.0,0.0,1.1,1.1,2.3,0.0,0.0,1.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0
0.0,0.0,2.32,0.0,0.0,0.15,0.0,0.56,2.1,0.66,0.15,0.0,0.0,0.0,0.166,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,10.0
0.0,1.2,0.0,0.0,0.99,0.0,0.36,0.0,0.81,0.59,0.0,0.355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.66,36.0
0.0,0.0,0.0,0.15,0.0,0.0,0.56,2.36,0.0,0.0,0.32,0.88,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.66,0.0,0.0,0.152,28.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,82.0
0.0,0.0,1.2,0.0,0.65,0.0,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.65,60.0
0.0,0.0,0.0,0.0,0.0,0.0,0.65,1.21,0.0,0.0,1.46,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,58.0
