IRI0,Rainfall,Temperature min,Temperature max,Truck CV,Target IRI
4.63,3044.1,6980,10623,1027,6.4
4.47,3796.9,6980,10623,972,5.6
4.92,3796.9,6980,10623,972,9.1
5.54,3796.9,6980,10623,972,7.7
4.49,3796.9,6980,10623,972,6.7
4.39,3796.9,6980,10623,972,6
4.76,3796.9,6980,10623,972,6.7
4.57,3796.9,6980,10623,972,6.2
4.09,4089.4,6035,10821,677,6.4
4.2,4209.6,6035,10821,677,5.9
5.21,4209.6,6035,10821,677,6.8
4.95,4209.6,6035,10821,677,5.9
4.49,4209.6,6035,10821,677,5.4
3.88,4071.9,6297,10601,881,6.8
4.25,4071.9,6297,10601,881,6.5
6.12,4071.9,6297,10601,881,9
8.86,4071.9,6297,10601,322,12.5
10.17,4071.9,6297,10601,322,14.3
10.12,4071.9,6297,10601,322,15.7
8.92,4071.9,6297,10601,322,11.6
9.86,4071.9,6297,10601,322,14
11.88,4071.9,6297,10601,322,14.2
9.74,4071.9,6297,10601,322,12.4
9.26,4071.9,6297,10601,322,14
9.18,4071.9,6297,10601,322,12.9
11.48,2339.6,5933,9812,322,18.2
10.98,2339.6,5933,9812,322,15.1
12.34,2339.6,5933,9812,322,15
10.94,2339.6,5933,9812,322,16.4
10.5,2339.6,5933,9812,322,17.9
9.86,2339.6,5933,9812,322,14.5
10.52,2339.6,5933,9812,322,17.1
10.41,2339.6,5933,9812,322,18.1
10.79,2339.6,5933,9812,322,17.2
10.94,2339.6,5933,9812,322,17.2
9.88,2339.6,5933,9812,322,19
10.55,2339.6,5933,9812,322,17.2
9.5,2339.6,5933,9812,322,14.6
10.94,2339.6,5933,9812,322,18.2
10.14,2339.6,5933,9812,322,16.8
10.74,2339.6,5933,9812,322,15.2
10.41,2339.6,5933,9812,322,14.2
6.31,2339.6,5933,9812,7262,10
3.93,2339.6,5933,9812,3373,5.4
4.86,2339.6,5933,9812,3373,8.4
3.96,2339.6,5933,9812,3373,5.7
4.36,2339.6,5933,9812,3373,5.3
3.96,2339.6,5933,9812,3373,5.8
4.5,2339.6,5933,9812,3373,6
4.25,2339.6,5933,9812,3373,10.1
5.72,2339.6,5933,9812,3373,10.2
6.09,2339.6,5933,9812,3373,10.2
4.65,2299.6,5933,9812,3373,9.7
5,2299.6,5933,9812,3373,6.9
3.93,2299.6,5933,9812,3373,5.3
