S.N,A1,A2,A3,B1,B2,B3,C1,C2,C3,D1,D2,D3,E1,E2,E3,F1,F2,F3,G1,G2,G3,H1,H2,H3,IRI
202,0,0.26,0,0,0,0,0,0.7,0.606,0,0.482,0.06,0,0,0,0,0.09,0,0,0,0,0,0,0,6
203,0.22,0.51,0,0,0,0,0.15,1.665,0.066,0.056,0.11,0.22,0,0.3,0,0,0,0,0,0,0,0.17,0,0,3.98
204,0.56,0,0,0,0,0.632,0.145,0,0,0,0,0.06,0,0,1.58,0,0,0,0,0,0,0.32,0.47,0,2.46
205,0,0,0,0,0.15,0,0.165,0.12,0.5,0,0,0.4,0,0.33,0,0,0,0,0,0,0,0,0,0,3.05
206,0,0,0.99,0,0.5,0,0.56,0.5,0.74,0.32,0,0,0,0,0.45,0,0,0,0.48,0,0,0.6,0,0,4.94
207,0,0,0.56,0,0,0.05,0.85,0.71,0.765,0.1,0,0,0,0.66,0.44,0,0,0,0,0,0,1.25,0,0,4.19
208,0,0,0,0,0,0.23,0.22,0.5,0,0,0.22,0,0,0.03,0,0,0,0,0.5,0,0,0,0,0,2.3
209,0,0,0,0,0,0,0,0.25,0.65,0.23,0.26,0,0,0,0.78,0,0.02,0,0,0,0.15,0,0,0,3.59
210,0,0.06,0,0,0,0,0,0,0,0.1,0.426,0.21,0,0.31,0.88,0,0,0,0,0,0.32,0.6,0,0,3.47
211,0,0,0,0,0,0,0.52,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,2.35
212,0,0,0,0,0.26,0,0,0,0,0,0,0.23,0,0,0,0,0,0,0,0,0,0,0,0,1.54
213,0.5,0,0,0,0.26,2.3,0.23,0,0.23,0.43,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,2.17
214,0.5,0,0,0.12,1.23,0,0.12,1.22,0.12,0.12,0.122,0.45,0,0,0,0,0,0,0,0.35,0.01,0,0,0,3.01
215,2.4,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0.26,0.45,0,0.26,4.06
216,0,0,0,0,0,0,1.16,1.22,0.772,0,0.3,0,0.155,0.15,0,0,0,0,0.2,0,0,0,0.778,0,2.39
217,0.5,0,0,0.12,1.23,0,0.12,1.22,0.12,0.12,0.122,0.45,0,0,0,0,0,0,0,0.35,0.01,0,0,0,2.85
218,0,0,1.05,0,0.15,0.56,0,0.23,0,0,0,0,0.1,0.1,0,0,0.03,0,0,0,0,0,0.33,0,5.38
219,0,0,0.6,0,0.62,0,0.756,1.23,0,0,0,0.11,0.15,0,0.15,0,0,0,0,0.23,0.15,0.23,0,0,4.42
220,0,0,0,0,0,1.03,0,0.24,0.16,0,0,0.82,0,1.2,0,0,0.02,0,0,0,0,0,0,0,3.88
221,0,1.5,0,0,0,0,0,2.1,0.15,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,5.32
222,0,0,2.12,0,0,0,1.4,2.3,0,0.65,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,6.95
223,0,2.1,0,0,0,0,0,0,0,0.15,0.25,0.45,0,0,1.1,0,0,0,0,0.15,0,0,0,0,6.11
224,0,0,0.9,0,0.6,0,0,1,0.53,0.51,0,0.15,0,0,1.3,0,0,0,0,0,0,0,0,0,6.11
