ACLM,ACH,LTLM,LTH,PLM,PH,BH,PaLM,PaH,RuLM,RuH,DBL,DBH,RoadRoidIRI
0.0,0.0,0.275,0.0,0.0,0.0,0.15,0.0,0.131,0.0,0.0,0.131,0.447,2.885
0.15,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.349,0.0,3.565
0.0,0.023,0.131,0.131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.165,3.652
0.0,0.0,0.0,0.109,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.12,0.0,3.226
0.0,0.0,0.196,0.131,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.164,0.0,3.262
0.22,0.0,0.338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.743,0.0,1.254
0.0,0.0,0.436,0.229,0.0,0.0,0.0,0.022,0.0,0.0,0.0,0.709,0.0,1.658
0.0,0.0,0.439,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.218,0.251,0.0,2.355
0.0,0.0,0.447,0.131,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.0,0.145,3.256
0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,2.625
0.0,0.136,0.0,0.273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.879
0.0,0.0,1.018,0.144,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,2.148
0.1,0.0,1.341,0.0,0.0,0.0,0.0,0.349,0.0,0.0,0.0,0.0,0.0,2.155
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.626
0.0,0.0,0.6,0.0,0.242,0.0,0.87,0.0,0.0,0.0,0.0,0.0,0.0,3.329
0.0,0.0,0.403,0.0,0.0,0.216,0.0,1.711,0.0,0.0,0.0,0.545,0.0,4.304
1.47,0.0,0.131,0.0,0.0,0.097,0.0,2.42,1.363,0.0,0.0,0.0,0.0,4.507
2.24,0.0,0.044,0.0,0.099,0.0,0.23,0.0,0.0,0.894,0.916,0.0,0.0,3.657
1.52,0.0,0.0,0.0,0.0,0.0,0.74,2.769,0.0,0.0,0.044,0.0,0.0,3.328
1.26,0.231,2.193,0.0,0.0,0.0,2.4,3.488,0.872,0.0,0.12,0.229,0.0,4.974
0.07,0.0,0.153,0.0,0.099,0.0,1.69,0.0,0.349,0.0,0.0,0.645,0.0,3.347
0.04,0.0,0.142,0.0,0.033,0.0,1.0,0.0,0.491,0.0,0.0,0.0,0.0,2.783
1.84,0.0,1.33,0.458,0.0,0.0,0.82,1.003,0.218,0.0,0.0,0.0,0.0,3.754
0.0,0.927,0.0,1.09,0.0,0.0,0.52,0.0,0.436,1.33,0.0,0.0,0.0,4.352
2.84,0.0,0.698,0.676,0.0,0.0,0.0,2.616,0.0,0.654,0.0,0.741,3.488,5.627
2.48,0.0,4.077,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,4.073
1.05,0.0,0.349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.526
1.2,0.0,0.872,0.0,0.0,0.0,2.6,1.635,0.0,0.283,0.0,0.0,0.0,3.875
0.0,0.0,0.0,0.85,0.0,0.0,0.0,0.164,0.0,0.0,0.0,0.654,0.0,2.538
0.0,0.0,2.126,0.0,0.0,0.0,2.1,0.0,0.0,0.251,0.0,0.883,0.0,3.231
0.0,0.0,1.068,0.0,0.172,0.0,0.0,0.0,0.0,0.654,0.0,0.0,0.709,3.138
0.0,1.356,1.559,0.0,0.0,0.0,0.65,0.0,0.709,0.545,0.0,0.981,0.0,4.897
0.0,0.0,0.676,0.251,0.0,0.0,0.0,0.0,0.0,0.164,0.044,0.0,0.0,2.23
